listing_timestamp,sq_ft,num_bedrooms,num_bathrooms,num_balcony,possession_on,apartment_name,parking,power_backup,age_of_building,ownership_type,maintenance_charges,flooring,built_up_area,carpet_area,furnishing_status,facing,floor,gated_security,description,unique_views,shortlists,contacted,visited,amenities_json
2025-10-27T16:08:11.930365,1450,3,3,2,2026-03-01,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,1600 sq.ft.,1350 sq.ft.,Semi-Furnished,North-East,12th of 25,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""Medical"", ""icon"": ""\u2b50""}]"
2025-10-27T21:14:58.165186,1450,3,3,2,2026-03-01,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,1600 sq.ft.,1350 sq.ft.,Semi-Furnished,North-East,12th of 25,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}]"
2025-10-28T16:55:11.881870,1450,3,3,2,2026-03-01,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,1600 sq.ft.,1350 sq.ft.,Semi-Furnished,North-East,12th of 25,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}]"
2025-12-06T13:35:03.533613,1450,3,3,2,2026-03-01,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,1600 sq.ft.,1350 sq.ft.,Semi-Furnished,North-East,12th of 25,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}]"
2025-12-06T15:27:01.940019,1450,3,3,2,2026-03-26,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,1600 sq.ft.,1350 sq.ft.,Semi-Furnished,North-East,12th of 25,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Rain Water Harvesting"", ""icon"": ""\ud83d\udca7""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}]"
2025-12-06T21:39:09.286376,1450,3,3,2,2026-03-01,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,1600 sq.ft.,1350 sq.ft.,Semi-Furnished,North-East,12th of 25,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}]"
2025-12-13T11:11:43.076175,1300,2,2,1,Ready Possession,Block A,Bike and Car,Full,4 Years Old,Freehold,5000,Vitrified Tiles,1400,1100,Fully Furnished,North-East,2nd of 11,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}]"
2025-12-14T10:49:24.930025,1450,3,3,2,2026-03-01,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,1600 sq.ft.,1350 sq.ft.,Semi-Furnished,North-East,12th of 25,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Intercom Facility"", ""icon"": ""\ud83d\udcde""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Jogging Track"", ""icon"": ""\ud83c\udfc3""}, {""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""Temple"", ""icon"": ""\u2b50""}]"
2025-12-14T10:51:59.652640,600,1,1,0,Ready Possession,Block A,Bike,NA,2020,Freehold,300,Vitrified Tiles,500,450,Unfurnished,East,1st of 5,No,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}]"
2025-12-14T10:53:20.304710,2300,4,3,2,Ready Possession,The Lakeview Grand,Bike and Car,Full,New Construction,Freehold,3500,Vitrified Tiles,2000,1800,Furnished,South,12th of 12,Yes,"A meticulously planned residential project offering breathtaking lake views, premium amenities, and strategic location close to the IT hub. Experience luxury living with spacious layouts and modern infrastructure.",0,0,0,0,"[{""name"": ""Lift"", ""icon"": ""\u2191\u2193""}, {""name"": ""Internet Provider"", ""icon"": ""\ud83c\udf10""}, {""name"": ""Club House"", ""icon"": ""\ud83c\udf79""}, {""name"": ""Children's Play Area"", ""icon"": ""\ud83c\udfa0""}, {""name"": ""Fire Safety"", ""icon"": ""\ud83d\udd25""}, {""name"": ""Security"", ""icon"": ""\ud83d\udd12""}, {""name"": ""Gas Pipeline"", ""icon"": ""\u26fd""}, {""name"": ""Park"", ""icon"": ""\ud83c\udf33""}, {""name"": ""Visitor Parking"", ""icon"": ""\ud83c\udd7f\ufe0f""}, {""name"": ""EV Chargers"", ""icon"": ""\u26a1""}, {""name"": ""Swimming Pool"", ""icon"": ""\ud83c\udfca""}]"
